ID,Type,CircleMode,MX,MY,MZ,TX,TY,TZ,TR,TA,Speed,AccSpeed,IOStatus,StartDelay,EndDelay,StartDelayIOStatus,EndDelayIOStatus,Section,
1,0,-1,-,-,-,0,0,0,0,0,10,10,1,0,0,0,0,3_1,
2,0,-1,-,-,-,20,0,0,0,0,10,10,1,0,0,0,0,3_1,
3,0,-1,-,-,-,20,20,0,0,0,10,10,1,0,0,0,0,3_1,
4,0,-1,-,-,-,0,20,0,0,0,10,10,1,0,0,0,0,3_1,
5,0,-1,-,-,-,0,0,0,0,0,10,10,1,0,0,0,0,3_1,
MinX,-999,MaxX,999,MinY,-999,MaxY,999,MinZ,-999,MaxZ,999,MinR,-999,MaxR,999,MinA,-99,MaxA,999
