ID,Type,CircleMode,MX,MY,MZ,TX,TY,TZ,TR,TA,Speed,AccSpeed,IOStatus,StartDelay,EndDelay,StartDelayIOStatus,EndDelayIOStatus,Section
1,0,-1,-,-,-,-0.789001727,0.568377075,0.000000000,0.000,0.000,39.000,39.000,0,0.000,0.000,0,0,1_1
2,0,-1,-,-,-,-1.360417584,0.993479804,0.000000000,0.000,0.000,34.000,39.000,1,0.000,0.000,0,0,1_1
3,0,-1,-,-,-,-2.001483441,-1.398933394,0.000000000,0.000,0.000,22.000,22.000,1,0.000,0.000,0,0,1_1
4,0,-1,-,-,-,-1.759148003,-3.312148371,0.000000000,0.000,0.000,19.000,19.000,1,0.000,0.000,0,0,1_1
5,0,-1,-,-,-,-1.596491628,-3.793925509,0.000000000,0.000,0.000,29.000,29.000,0,0.000,0.000,0,0,1_1
MinX,-999,MaxX,999,MinY,-999,MaxY,999,MinZ,-999,MaxZ,999,MinR,-999,MaxR,999,MinA,-999,MaxA,999
