ID,Type,CircleMode,MX,MY,MZ,TX,TY,TZ,TR,TA,Speed,AccSpeed,IOStatus,StartDelay,EndDelay,StartDelayIOStatus,EndDelayIOStatus,Section
1,0,-1,-,-,-,-0.095617995,-0.076117424,0.000000000,0.000,0.000,29.000,29.000,0,0.000,0.000,0,0,4_1
2,0,-1,-,-,-,-1.013909732,0.453203958,0.000000000,0.000,0.000,34.000,39.000,1,0.000,0.000,0,0,4_1
3,0,-1,-,-,-,-1.444785977,-1.716287752,0.000000000,0.000,0.000,12.000,12.000,1,0.000,0.000,0,0,4_1
4,0,-1,-,-,-,-1.223966322,-3.853134972,0.000000000,0.000,0.000,19.000,19.000,1,0.000,0.000,0,0,4_1
5,0,-1,-,-,-,-1.061328531,-4.422306892,0.000000000,0.000,0.000,29.000,29.000,0,0.000,0.000,0,0,4_1
MinX,-999,MaxX,999,MinY,-999,MaxY,999,MinZ,-999,MaxZ,999,MinR,-999,MaxR,999,MinA,-999,MaxA,999
