ID,Type,CircleMode,MX,MY,MZ,TX,TY,TZ,TR,TA,Speed,AccSpeed,IOStatus,StartDelay,EndDelay,StartDelayIOStatus,EndDelayIOStatus,Section
1,0,-1,-,-,-,-0.706933583,0.495062178,0.000000000,0.000,0.000,29.000,29.000,0,0.000,0.000,0,0,1_1
2,0,-1,-,-,-,-1.296943159,0.969199660,0.000000000,0.000,0.000,34.000,39.000,1,0.000,0.000,0,0,1_1
3,0,-1,-,-,-,-1.833145662,-1.460765433,0.000000000,0.000,0.000,12.000,12.000,1,0.000,0.000,0,0,1_1
4,0,-1,-,-,-,-1.710909769,-2.693755714,0.000000000,0.000,0.000,19.000,19.000,1,0.000,0.000,0,0,1_1
5,0,-1,-,-,-,-1.670790990,-2.960081070,0.000000000,0.000,0.000,29.000,29.000,0,0.000,0.000,0,0,1_1
MinX,-999,MaxX,999,MinY,-999,MaxY,999,MinZ,-999,MaxZ,999,MinR,-999,MaxR,999,MinA,-999,MaxA,999
